num_tokens,num_palabras,num_oraciones,num_verbs,num_nouns,num_adjs,num_advs,num_entidades,longitud_promedio_oracion,densidad_verbos,densidad_sustantivos,densidad_entidades,modelo,benchmark,label_gold_binaria,prompt
23,16,1,2,2,0,0,4,23.0,0.08695652173913043,0.08695652173913043,0.17391304347826086,gemma-7b,halueval,0,Bret Schundler served in the cabinet of a New Jersey governor whose term ended in what year?
51,46,1,7,8,1,1,4,51.0,0.13725490196078433,0.1568627450980392,0.0784313725490196,gemma-7b,halueval,0,"The Government Accountability Institute (GAI) is a conservative nonprofit investigative research organization located in Tallahassee, Florida, The group is known for its involvement with the publication of the investigative books ""Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich"", Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich is  a ""New York Times"" bestselling book, released in which year?"
47,40,2,4,12,9,0,0,23.5,0.0851063829787234,0.2553191489361702,0.0,gemma-7b,halueval,0,"How many people died in the downing of the flight investigated by Eliot Higgins, the British citizen journalist and blogger?"
38,33,1,8,5,1,1,2,38.0,0.21052631578947367,0.13157894736842105,0.05263157894736842,gemma-7b,halueval,0,"Life of Kylie is an American reality television series starring Kylie Jenner,  best known for starring in the E! reality television series ""Keeping Up with the Kardashians"" since what young age?"
19,18,1,1,4,3,0,2,19.0,0.05263157894736842,0.21052631578947367,0.10526315789473684,gemma-7b,halueval,0,What do Jimmie Ross and Jas Mann have in common?
30,26,2,1,2,1,0,4,15.0,0.03333333333333333,0.06666666666666667,0.13333333333333333,gemma-7b,halueval,0,Are 919 Third Avenue and the Morgan Stanley Building located in the same area of New York?
11,10,1,1,2,2,0,2,11.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,gemma-7b,halueval,0,What group did the composer of Pictures at an Exhibition belong to?
22,20,2,1,4,1,1,2,11.0,0.045454545454545456,0.18181818181818182,0.09090909090909091,gemma-7b,halueval,0, Taizô Kawashima was nominated for an Academy Award for the war film released in what year?
12,9,1,1,2,0,0,2,12.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,gemma-7b,halueval,0,Watchers is a film starring which actress?
40,26,2,2,7,1,0,5,20.0,0.05,0.175,0.125,gemma-7b,halueval,0,"What is the name of this American musician, singer, actor, comedian, and songwriter, who worked with Modern Records and born in December 5, 1932?"
22,17,1,1,5,1,0,3,22.0,0.045454545454545456,0.22727272727272727,0.13636363636363635,gemma-7b,halueval,0,Who was the former wife of the American musician who led the band Kings of Rhythm?
